Transaction_ID,Date,Customer_Name,Product,Total_Item,Total_Cost,Payment_Method,City,Store_Type,Discount_,Customer_Category,Season,Promotion
100000016,25-12-2021 19:06,Customer_453,"['Biscuits', 'Butter', 'Detergent', 'Soap', 'Fruits', 'Coffee', 'Toothpaste']",7,1375.41,Credit Card,Bengaluru,Supermarket,FALSE,Student,Spring,BOGO (Buy One Get One)
100000017,12-02-2021 15:42,Customer_180,"['Detergent', 'Biscuits', 'Rice', 'Toothpaste', 'Shampoo']",5,943.23,UPI,Jaipur,Pharmacy,TRUE,Student,Rainy,BOGO (Buy One Get One)
100000018,04-04-2023 09:03,Customer_20,"['Biscuits', 'Tea']",2,348.31,UPI,Surat,Convenience Store,TRUE,Businessperson,Summer,10% OFF
100000019,31-03-2020 14:53,Customer_1,"['Vegetables', 'Toothpaste', 'Sugar', 'Tea', 'Bread', 'Oil', 'Soap', 'Cold Drink', 'Fruits']",9,1433.2,UPI,Bengaluru,Convenience Store,FALSE,Businessperson,Winter,10% OFF
100000020,10-08-2021 07:10,Customer_221,"['Biscuits', 'Oil', 'Coffee', 'Vegetables', 'Fruits', 'Spices', 'Eggs', 'Snacks', 'Detergent', 'Bread']",10,1483.4,Mobile Payment,Hyderabad,Grocery Store,TRUE,Businessperson,Spring,BOGO (Buy One Get One)
100000021,11-01-2024 23:46,Customer_197,"['Shampoo', 'Detergent', 'Butter', 'Rice', 'Eggs', 'Biscuits', 'Toothpaste', 'Chocolate']",8,1256.66,Credit Card,Kolkata,Convenience Store,FALSE,Businessperson,Summer,Festive Offer
100000022,10-07-2022 08:50,Customer_385,"['Snacks', 'Fruits', 'Chocolate', 'Detergent']",4,303.76,Credit Card,Jaipur,Supermarket,TRUE,Professional,Summer,Festive Offer
100000023,22-11-2023 05:12,Customer_362,"['Bread', 'Tea', 'Spices', 'Oil']",4,499.76,Mobile Payment,Surat,Grocery Store,FALSE,Student,Rainy,10% OFF
100000024,23-03-2024 13:18,Customer_437,"['Vegetables', 'Biscuits', 'Detergent', 'Chocolate', 'Spices', 'Butter', 'Toothpaste']",7,1469.47,Mobile Payment,Ahmedabad,Convenience Store,TRUE,Student,Spring,BOGO (Buy One Get One)
100000025,10-11-2024 15:45,Customer_94,['Snacks'],1,119.94,Cash,Kolkata,Pharmacy,FALSE,Businessperson,Rainy,Festive Offer
100000026,31-05-2021 02:47,Customer_241,['Vegetables'],1,25.1,Credit Card,Hyderabad,Supermarket,TRUE,Student,Summer,BOGO (Buy One Get One)
100000027,14-09-2024 00:41,Customer_319,"['Detergent', 'Butter', 'Chocolate']",3,450.9,Credit Card,Pune,Department Store,TRUE,Professional,Rainy,None
100000028,31-03-2023 00:52,Customer_476,"['Spices', 'Shampoo', 'Biscuits', 'Toothpaste', 'Bread']",5,822.65,Mobile Payment,Surat,Supermarket,FALSE,Businessperson,Rainy,None
100000029,02-11-2022 22:06,Customer_175,['Tea'],1,248.48,Mobile Payment,Ahmedabad,Pharmacy,FALSE,Professional,Spring,BOGO (Buy One Get One)
100000030,11-02-2024 17:48,Customer_495,"['Biscuits', 'Vegetables', 'Chocolate', 'Coffee', 'Tea']",5,896.98,Credit Card,Kolkata,Department Store,FALSE,Businessperson,Rainy,None
100000031,09-10-2022 11:05,Customer_94,"['Toothpaste', 'Sugar', 'Snacks', 'Oil', 'Vegetables', 'Coffee', 'Cold Drink', 'Spices']",8,1120.19,UPI,Kolkata,Grocery Store,TRUE,Student,Rainy,BOGO (Buy One Get One)
100000032,08-04-2022 23:36,Customer_125,"['Spices', 'Sugar', 'Chocolate', 'Fruits', 'Biscuits']",5,768.04,Credit Card,Hyderabad,Supermarket,TRUE,Homemaker,Winter,BOGO (Buy One Get One)
100000033,27-01-2021 07:23,Customer_379,"['Snacks', 'Spices', 'Fruits', 'Cold Drink', 'Eggs', 'Tea', 'Chocolate', 'Butter']",8,1081.83,Cash,Kolkata,Supermarket,TRUE,Homemaker,Spring,Festive Offer
100000034,21-06-2022 11:37,Customer_95,['Snacks'],1,282.91,UPI,Delhi,Supermarket,FALSE,Businessperson,Winter,None
100000035,06-11-2020 05:05,Customer_416,"['Cold Drink', 'Bread', 'Detergent', 'Eggs', 'Tea', 'Biscuits', 'Coffee', 'Shampoo', 'Chocolate', 'Fruits']",10,1569.57,Cash,Hyderabad,Pharmacy,TRUE,Professional,Summer,BOGO (Buy One Get One)
100000036,04-02-2023 02:33,Customer_81,['Tea'],1,140.65,UPI,Chennai,Supermarket,TRUE,Homemaker,Rainy,Festive Offer
100000037,25-05-2020 23:27,Customer_120,"['Spices', 'Toothpaste', 'Tea', 'Eggs', 'Detergent']",5,809.8,Credit Card,Surat,Convenience Store,FALSE,Businessperson,Winter,Festive Offer
100000038,11-11-2023 10:22,Customer_359,"['Snacks', 'Fruits', 'Vegetables', 'Chocolate', 'Coffee', 'Milk', 'Cold Drink']",7,920.79,Mobile Payment,Chennai,Convenience Store,TRUE,Professional,Spring,Festive Offer
100000039,23-07-2021 06:11,Customer_300,"['Chocolate', 'Bread', 'Biscuits', 'Sugar', 'Tea', 'Soap', 'Coffee']",7,1403.51,Mobile Payment,Kolkata,Supermarket,FALSE,Homemaker,Rainy,None
100000040,01-05-2024 13:47,Customer_443,"['Rice', 'Vegetables', 'Coffee', 'Tea', 'Milk', 'Eggs', 'Snacks', 'Soap', 'Cold Drink']",9,1563.22,Cash,Bengaluru,Pharmacy,TRUE,Businessperson,Winter,BOGO (Buy One Get One)
100000041,19-09-2024 03:52,Customer_237,"['Butter', 'Chocolate']",2,375.11,Credit Card,Ahmedabad,Grocery Store,FALSE,Professional,Spring,BOGO (Buy One Get One)
100000042,24-02-2022 06:30,Customer_472,"['Fruits', 'Butter', 'Bread', 'Snacks', 'Tea', 'Soap', 'Shampoo', 'Biscuits', 'Spices', 'Rice']",10,1487.51,UPI,Pune,Department Store,TRUE,Businessperson,Summer,Festive Offer
100000043,30-03-2020 10:51,Customer_382,"['Shampoo', 'Biscuits', 'Butter', 'Chocolate', 'Milk', 'Bread', 'Snacks', 'Cold Drink']",8,1042.22,Cash,Delhi,Grocery Store,FALSE,Homemaker,Spring,None
100000044,10-10-2024 11:12,Customer_437,"['Shampoo', 'Oil', 'Chocolate', 'Milk', 'Bread', 'Eggs', 'Spices', 'Tea', 'Butter']",9,1778.97,Mobile Payment,Pune,Supermarket,FALSE,Homemaker,Rainy,Festive Offer
100000045,25-10-2020 08:20,Customer_272,"['Spices', 'Soap', 'Biscuits', 'Vegetables', 'Bread', 'Cold Drink', 'Tea']",7,1078.09,Mobile Payment,Kolkata,Pharmacy,TRUE,Student,Spring,10% OFF
100000046,18-04-2023 10:12,Customer_328,"['Snacks', 'Coffee', 'Cold Drink', 'Toothpaste', 'Shampoo', 'Tea', 'Detergent']",7,851.29,UPI,Chennai,Supermarket,TRUE,Businessperson,Rainy,BOGO (Buy One Get One)
100000047,28-05-2023 12:01,Customer_113,"['Biscuits', 'Snacks', 'Butter', 'Eggs']",4,706.86,Credit Card,Bengaluru,Supermarket,FALSE,Homemaker,Spring,BOGO (Buy One Get One)
100000048,15-02-2021 04:30,Customer_403,"['Sugar', 'Fruits', 'Spices', 'Snacks', 'Soap', 'Butter', 'Tea', 'Detergent', 'Coffee']",9,1782.12,Credit Card,Delhi,Grocery Store,TRUE,Homemaker,Winter,Festive Offer
100000049,24-01-2022 22:57,Customer_384,"['Spices', 'Shampoo', 'Sugar', 'Eggs', 'Detergent']",5,911.96,Mobile Payment,Kolkata,Pharmacy,FALSE,Student,Summer,None
100000050,17-03-2020 10:23,Customer_253,"['Eggs', 'Detergent']",2,316.65,UPI,Pune,Convenience Store,FALSE,Professional,Spring,None
100000051,03-09-2024 16:42,Customer_316,"['Snacks', 'Milk', 'Sugar', 'Toothpaste', 'Coffee', 'Detergent', 'Eggs']",7,1206.69,Cash,Delhi,Grocery Store,TRUE,Professional,Winter,None
100000052,30-05-2024 11:23,Customer_125,"['Spices', 'Toothpaste', 'Bread']",3,601.42,Cash,Pune,Department Store,TRUE,Homemaker,Summer,BOGO (Buy One Get One)
100000053,11-01-2023 08:33,Customer_409,"['Eggs', 'Rice', 'Butter']",3,332.41,Credit Card,Mumbai,Department Store,FALSE,Student,Summer,Festive Offer
100000054,13-12-2022 03:52,Customer_382,"['Chocolate', 'Coffee']",2,394.46,Mobile Payment,Kolkata,Convenience Store,TRUE,Student,Rainy,Festive Offer
100000055,10-08-2023 01:03,Customer_32,"['Shampoo', 'Tea', 'Eggs', 'Chocolate', 'Coffee', 'Milk', 'Fruits', 'Soap']",8,1234.43,UPI,Jaipur,Convenience Store,FALSE,Student,Winter,BOGO (Buy One Get One)
100000056,30-05-2022 15:24,Customer_455,"['Tea', 'Oil', 'Coffee', 'Shampoo']",4,504.85,Credit Card,Bengaluru,Grocery Store,TRUE,Student,Winter,None
100000057,03-06-2022 03:17,Customer_382,"['Butter', 'Vegetables', 'Milk', 'Oil', 'Eggs', 'Toothpaste']",6,1314.76,Credit Card,Pune,Supermarket,TRUE,Professional,Spring,BOGO (Buy One Get One)
100000058,01-10-2024 03:41,Customer_180,"['Sugar', 'Eggs', 'Snacks', 'Detergent', 'Tea', 'Chocolate', 'Vegetables', 'Shampoo', 'Cold Drink']",9,1395.18,Credit Card,Pune,Supermarket,TRUE,Professional,Spring,None
100000059,17-10-2020 21:36,Customer_498,['Bread'],1,226.37,Cash,Ahmedabad,Grocery Store,FALSE,Homemaker,Summer,10% OFF
100000060,30-09-2021 11:04,Customer_398,"['Biscuits', 'Bread', 'Milk', 'Butter', 'Soap', 'Shampoo', 'Cold Drink', 'Rice', 'Oil', 'Vegetables']",10,1374.64,UPI,Jaipur,Pharmacy,TRUE,Professional,Spring,None
100000061,16-01-2020 06:58,Customer_155,"['Butter', 'Snacks', 'Cold Drink', 'Oil']",4,381.39,Cash,Jaipur,Convenience Store,FALSE,Student,Spring,None
100000062,12-06-2022 00:38,Customer_236,"['Oil', 'Spices']",2,261.78,UPI,Chennai,Supermarket,FALSE,Student,Rainy,BOGO (Buy One Get One)
100000063,29-06-2024 21:05,Customer_236,"['Bread', 'Tea', 'Eggs', 'Detergent', 'Spices', 'Cold Drink']",6,957.87,Mobile Payment,Jaipur,Supermarket,TRUE,Homemaker,Rainy,BOGO (Buy One Get One)
100000064,28-04-2021 03:30,Customer_75,"['Toothpaste', 'Soap', 'Butter', 'Bread', 'Spices']",5,974.06,Credit Card,Pune,Department Store,FALSE,Student,Spring,Festive Offer
100000065,17-07-2023 10:20,Customer_408,"['Spices', 'Milk', 'Sugar', 'Fruits', 'Bread']",5,551.02,Mobile Payment,Surat,Convenience Store,FALSE,Businessperson,Winter,Festive Offer
100000066,16-07-2024 19:30,Customer_334,"['Oil', 'Chocolate', 'Fruits', 'Butter']",4,926.41,Mobile Payment,Jaipur,Department Store,TRUE,Professional,Spring,Festive Offer
100000067,09-12-2022 17:50,Customer_313,"['Sugar', 'Biscuits', 'Cold Drink']",3,563.83,Mobile Payment,Pune,Supermarket,FALSE,Student,Spring,10% OFF
100000068,31-05-2021 22:24,Customer_494,"['Butter', 'Oil', 'Bread', 'Biscuits', 'Sugar', 'Fruits', 'Spices', 'Chocolate', 'Tea', 'Toothpaste']",10,1616.21,Mobile Payment,Ahmedabad,Convenience Store,FALSE,Student,Rainy,10% OFF
100000069,04-01-2021 07:18,Customer_175,"['Toothpaste', 'Detergent', 'Butter', 'Vegetables', 'Bread', 'Fruits', 'Tea', 'Shampoo']",8,1200.18,UPI,Bengaluru,Department Store,TRUE,Professional,Spring,None
100000070,21-04-2022 12:26,Customer_347,"['Coffee', 'Cold Drink', 'Biscuits', 'Detergent']",4,655.12,Cash,Pune,Convenience Store,FALSE,Businessperson,Rainy,Festive Offer
100000071,26-10-2022 18:00,Customer_215,"['Toothpaste', 'Butter', 'Snacks']",3,292.15,Mobile Payment,Jaipur,Supermarket,FALSE,Student,Summer,10% OFF
100000072,09-07-2022 17:31,Customer_76,"['Bread', 'Detergent', 'Coffee', 'Sugar', 'Rice', 'Toothpaste', 'Chocolate']",7,615.34,Credit Card,Bengaluru,Department Store,TRUE,Homemaker,Spring,BOGO (Buy One Get One)
100000073,03-04-2024 16:00,Customer_230,"['Rice', 'Bread', 'Biscuits', 'Snacks', 'Toothpaste', 'Tea', 'Spices', 'Fruits', 'Sugar', 'Cold Drink']",10,1249.21,Mobile Payment,Jaipur,Convenience Store,TRUE,Professional,Rainy,Festive Offer
100000074,04-01-2020 20:59,Customer_181,"['Spices', 'Tea', 'Soap', 'Bread']",4,730.66,Mobile Payment,Ahmedabad,Grocery Store,TRUE,Businessperson,Rainy,10% OFF
100000075,10-03-2024 00:33,Customer_183,"['Sugar', 'Detergent']",2,414.75,Credit Card,Bengaluru,Supermarket,FALSE,Homemaker,Summer,Festive Offer
100000076,25-11-2023 16:20,Customer_324,"['Butter', 'Bread', 'Coffee']",3,328.61,Mobile Payment,Pune,Pharmacy,FALSE,Businessperson,Rainy,None
100000077,22-03-2024 22:04,Customer_98,"['Sugar', 'Milk', 'Oil', 'Snacks', 'Eggs']",5,929.43,Credit Card,Bengaluru,Grocery Store,FALSE,Homemaker,Rainy,None
100000078,29-01-2024 14:29,Customer_41,"['Biscuits', 'Soap', 'Vegetables', 'Cold Drink', 'Oil', 'Milk', 'Coffee']",7,895.0,Credit Card,Surat,Grocery Store,FALSE,Student,Winter,Festive Offer
100000079,14-01-2022 17:30,Customer_411,"['Rice', 'Butter', 'Coffee']",3,285.36,Credit Card,Pune,Grocery Store,TRUE,Professional,Spring,10% OFF
100000080,31-01-2022 15:09,Customer_391,"['Spices', 'Butter']",2,288.97,Credit Card,Hyderabad,Supermarket,TRUE,Professional,Spring,Festive Offer
100000081,24-02-2023 04:01,Customer_135,"['Coffee', 'Toothpaste', 'Cold Drink', 'Chocolate', 'Spices']",5,853.68,Mobile Payment,Pune,Pharmacy,TRUE,Homemaker,Rainy,BOGO (Buy One Get One)
100000082,28-12-2023 23:54,Customer_327,"['Sugar', 'Fruits', 'Detergent']",3,163.75,UPI,Mumbai,Pharmacy,FALSE,Businessperson,Summer,None
100000083,14-05-2020 10:33,Customer_204,"['Fruits', 'Tea', 'Spices', 'Bread', 'Butter', 'Soap', 'Oil', 'Milk']",8,1507.04,UPI,Jaipur,Supermarket,TRUE,Professional,Rainy,BOGO (Buy One Get One)
100000084,27-11-2020 11:00,Customer_479,"['Sugar', 'Fruits', 'Cold Drink', 'Bread']",4,492.89,Credit Card,Surat,Convenience Store,TRUE,Professional,Summer,BOGO (Buy One Get One)
100000085,11-09-2023 21:18,Customer_369,"['Oil', 'Spices', 'Milk', 'Rice', 'Bread', 'Fruits', 'Biscuits', 'Shampoo', 'Cold Drink', 'Butter']",10,1878.52,UPI,Chennai,Grocery Store,TRUE,Student,Summer,Festive Offer
100000086,01-05-2022 16:31,Customer_238,"['Oil', 'Butter', 'Biscuits', 'Vegetables']",4,823.32,Credit Card,Jaipur,Convenience Store,TRUE,Homemaker,Summer,Festive Offer
100000087,07-09-2020 09:07,Customer_231,"['Butter', 'Eggs', 'Milk', 'Cold Drink']",4,965.21,Cash,Pune,Convenience Store,FALSE,Professional,Summer,Festive Offer
100000088,20-11-2022 15:56,Customer_256,"['Chocolate', 'Rice', 'Bread', 'Shampoo', 'Coffee']",5,653.25,UPI,Chennai,Convenience Store,TRUE,Student,Spring,BOGO (Buy One Get One)
100000089,12-12-2024 09:01,Customer_373,"['Shampoo', 'Sugar', 'Milk', 'Biscuits', 'Vegetables', 'Cold Drink']",6,813.86,Mobile Payment,Bengaluru,Supermarket,FALSE,Homemaker,Rainy,10% OFF
100000090,26-03-2024 04:55,Customer_102,"['Fruits', 'Shampoo', 'Biscuits', 'Milk', 'Vegetables', 'Rice', 'Bread', 'Sugar', 'Soap', 'Detergent']",10,1665.09,UPI,Surat,Pharmacy,FALSE,Student,Rainy,10% OFF
100000091,11-10-2023 03:44,Customer_214,"['Cold Drink', 'Rice', 'Chocolate', 'Snacks', 'Detergent', 'Sugar', 'Spices', 'Biscuits', 'Vegetables', 'Bread']",10,1657.01,UPI,Bengaluru,Grocery Store,TRUE,Businessperson,Spring,None
100000092,16-12-2023 04:42,Customer_266,"['Vegetables', 'Oil', 'Chocolate', 'Fruits']",4,714.63,Credit Card,Chennai,Convenience Store,FALSE,Professional,Summer,10% OFF
100000093,16-02-2023 10:11,Customer_116,"['Cold Drink', 'Toothpaste', 'Chocolate', 'Oil', 'Vegetables']",5,767.24,UPI,Ahmedabad,Pharmacy,TRUE,Homemaker,Winter,10% OFF
100000094,02-01-2024 02:41,Customer_178,"['Snacks', 'Chocolate', 'Toothpaste', 'Vegetables', 'Biscuits', 'Coffee', 'Spices', 'Sugar']",8,884.89,Mobile Payment,Ahmedabad,Pharmacy,FALSE,Student,Summer,None
100000095,01-02-2023 05:23,Customer_209,"['Chocolate', 'Toothpaste', 'Cold Drink', 'Oil', 'Vegetables', 'Fruits', 'Rice', 'Shampoo']",8,1480.43,Cash,Mumbai,Grocery Store,FALSE,Professional,Rainy,None
100000096,19-01-2020 10:11,Customer_291,"['Eggs', 'Oil', 'Cold Drink', 'Coffee', 'Chocolate', 'Fruits', 'Bread', 'Snacks', 'Detergent', 'Butter']",10,1324.61,Cash,Surat,Grocery Store,FALSE,Homemaker,Winter,Festive Offer
100000097,02-10-2023 03:15,Customer_95,"['Chocolate', 'Oil', 'Detergent']",3,272.77,Credit Card,Pune,Pharmacy,TRUE,Homemaker,Rainy,BOGO (Buy One Get One)
100000098,07-05-2020 22:47,Customer_61,"['Cold Drink', 'Soap', 'Shampoo', 'Fruits', 'Biscuits', 'Sugar', 'Milk', 'Oil']",8,1148.69,UPI,Jaipur,Grocery Store,TRUE,Professional,Winter,Festive Offer
100000099,17-12-2022 12:20,Customer_40,"['Eggs', 'Milk', 'Vegetables', 'Fruits', 'Toothpaste', 'Cold Drink', 'Snacks', 'Bread', 'Shampoo', 'Soap']",10,1587.63,Mobile Payment,Jaipur,Grocery Store,FALSE,Student,Spring,10% OFF
100000100,30-07-2024 00:06,Customer_382,"['Spices', 'Bread', 'Milk', 'Tea']",4,717.73,Mobile Payment,Kolkata,Supermarket,FALSE,Businessperson,Summer,BOGO (Buy One Get One)
100000101,17-04-2024 21:53,Customer_374,"['Sugar', 'Shampoo', 'Coffee', 'Spices', 'Fruits', 'Milk', 'Oil']",7,1327.59,Cash,Hyderabad,Supermarket,TRUE,Homemaker,Spring,Festive Offer
100000102,25-12-2022 12:56,Customer_422,"['Detergent', 'Coffee', 'Sugar', 'Butter']",4,634.77,UPI,Surat,Supermarket,TRUE,Professional,Winter,None
100000103,01-05-2023 01:08,Customer_229,"['Milk', 'Detergent', 'Biscuits', 'Shampoo', 'Coffee', 'Eggs', 'Snacks', 'Chocolate', 'Rice', 'Bread']",10,1461.7,Cash,Ahmedabad,Pharmacy,FALSE,Student,Summer,Festive Offer
100000104,12-02-2023 16:55,Customer_25,"['Shampoo', 'Fruits', 'Oil', 'Tea', 'Spices', 'Bread']",6,740.21,Cash,Kolkata,Supermarket,FALSE,Businessperson,Summer,Festive Offer
100000105,12-05-2021 08:42,Customer_105,"['Bread', 'Coffee', 'Sugar', 'Biscuits', 'Toothpaste', 'Rice']",6,1036.88,Cash,Kolkata,Department Store,FALSE,Homemaker,Winter,BOGO (Buy One Get One)
100000106,24-01-2021 04:00,Customer_383,"['Detergent', 'Toothpaste', 'Shampoo', 'Biscuits', 'Oil', 'Vegetables', 'Butter', 'Spices']",8,1430.55,Credit Card,Hyderabad,Pharmacy,FALSE,Businessperson,Winter,BOGO (Buy One Get One)
100000107,27-02-2024 04:58,Customer_9,"['Vegetables', 'Spices', 'Tea', 'Cold Drink', 'Butter']",5,569.79,Credit Card,Chennai,Grocery Store,FALSE,Businessperson,Summer,10% OFF
100000108,12-12-2020 04:46,Customer_369,"['Chocolate', 'Soap', 'Vegetables', 'Milk', 'Fruits', 'Tea', 'Coffee', 'Biscuits', 'Oil']",9,605.41,UPI,Kolkata,Supermarket,TRUE,Businessperson,Winter,None
100000109,20-12-2022 09:22,Customer_275,"['Rice', 'Fruits', 'Tea', 'Soap', 'Eggs']",5,791.12,Credit Card,Chennai,Grocery Store,TRUE,Homemaker,Spring,Festive Offer
100000110,03-03-2023 08:18,Customer_357,"['Cold Drink', 'Bread', 'Milk', 'Spices']",4,589.61,Cash,Delhi,Grocery Store,FALSE,Homemaker,Winter,None
100000111,15-04-2021 07:12,Customer_462,"['Chocolate', 'Snacks', 'Milk', 'Bread', 'Spices', 'Coffee', 'Biscuits', 'Cold Drink', 'Oil', 'Rice']",10,1500.84,UPI,Jaipur,Pharmacy,FALSE,Professional,Winter,10% OFF
100000112,19-04-2020 03:20,Customer_224,"['Bread', 'Oil', 'Shampoo', 'Spices']",4,557.98,Credit Card,Jaipur,Grocery Store,FALSE,Professional,Spring,None
100000113,30-04-2024 21:06,Customer_152,"['Bread', 'Biscuits', 'Snacks', 'Butter']",4,535.26,Credit Card,Delhi,Supermarket,TRUE,Homemaker,Spring,10% OFF
100000114,08-04-2024 09:12,Customer_53,"['Bread', 'Soap', 'Tea']",3,439.37,Mobile Payment,Delhi,Pharmacy,TRUE,Homemaker,Spring,None
100000115,20-08-2021 14:07,Customer_199,"['Vegetables', 'Detergent']",2,235.05,UPI,Bengaluru,Department Store,FALSE,Homemaker,Rainy,Festive Offer
100000116,25-10-2020 02:09,Customer_86,"['Snacks', 'Tea', 'Cold Drink', 'Chocolate', 'Bread', 'Soap', 'Butter']",7,1049.54,UPI,Pune,Convenience Store,FALSE,Homemaker,Spring,10% OFF
100000117,31-05-2022 22:13,Customer_499,"['Butter', 'Cold Drink', 'Oil', 'Toothpaste', 'Chocolate', 'Soap', 'Bread', 'Fruits', 'Coffee', 'Biscuits']",10,1841.87,Cash,Jaipur,Supermarket,FALSE,Professional,Spring,10% OFF
100000118,29-08-2024 23:38,Customer_36,"['Chocolate', 'Butter', 'Cold Drink', 'Detergent', 'Snacks', 'Oil', 'Bread']",7,1217.13,UPI,Jaipur,Supermarket,FALSE,Student,Winter,BOGO (Buy One Get One)
100000119,08-09-2023 22:41,Customer_182,"['Biscuits', 'Milk', 'Shampoo']",3,637.45,Mobile Payment,Mumbai,Supermarket,FALSE,Professional,Summer,Festive Offer
100000120,05-02-2022 13:21,Customer_238,"['Fruits', 'Butter', 'Sugar', 'Rice', 'Chocolate', 'Milk', 'Spices', 'Toothpaste', 'Coffee', 'Vegetables']",10,1601.8,Mobile Payment,Chennai,Supermarket,TRUE,Student,Rainy,None
100000121,18-10-2023 05:36,Customer_477,"['Fruits', 'Soap', 'Vegetables', 'Spices']",4,624.98,Cash,Bengaluru,Grocery Store,FALSE,Student,Summer,Festive Offer
100000122,27-04-2023 14:39,Customer_200,['Toothpaste'],1,69.68,Mobile Payment,Surat,Supermarket,TRUE,Homemaker,Rainy,BOGO (Buy One Get One)
100000123,26-07-2022 03:53,Customer_135,"['Fruits', 'Oil', 'Shampoo', 'Vegetables', 'Eggs', 'Soap', 'Coffee', 'Detergent']",8,1061.82,Credit Card,Delhi,Department Store,FALSE,Professional,Spring,Festive Offer
100000124,06-05-2023 04:42,Customer_295,"['Tea', 'Soap', 'Chocolate', 'Spices', 'Fruits', 'Detergent', 'Butter']",7,494.75,UPI,Jaipur,Convenience Store,FALSE,Businessperson,Spring,Festive Offer
100000125,25-12-2023 15:09,Customer_251,"['Bread', 'Spices', 'Rice']",3,334.24,Cash,Jaipur,Pharmacy,TRUE,Businessperson,Spring,None
100000126,18-03-2023 03:53,Customer_138,"['Sugar', 'Vegetables', 'Milk', 'Coffee', 'Toothpaste', 'Chocolate', 'Spices', 'Biscuits', 'Oil']",9,1792.9,Cash,Hyderabad,Convenience Store,FALSE,Businessperson,Summer,BOGO (Buy One Get One)
100000127,26-05-2024 07:03,Customer_417,"['Milk', 'Spices', 'Sugar', 'Snacks']",4,630.69,Credit Card,Jaipur,Supermarket,TRUE,Businessperson,Winter,10% OFF
100000128,10-11-2024 22:23,Customer_65,"['Detergent', 'Butter', 'Oil']",3,687.2,UPI,Bengaluru,Convenience Store,FALSE,Businessperson,Spring,Festive Offer
